Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
11/3/2008,221295,Insieme In Italia Together In Italy,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,247456,Crete Greece,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,236503,Global Treasures  BERGEN Norway,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236714,Global Treasures  TURKU Finland,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236356,Cosmos Global Documentaries  CULTURAL TREASURES: AUSTRIA,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/3/2008,236712,Global Treasures  Trinidad,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236741,Israel Today,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/3/2008,236670,Global Treasures  Salzburg Austria,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236281,7 Days  HOLLAND,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/3/2008,236564,Global Treasures  HAVANA La Habana Cuba,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236554,Global Treasures  GLAUMBAER Iceland,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,221327,Porthole TV DVD Grand Cayman,1,N/A,Amazon US Retail,$5.24,Sold through Amazon.com
11/3/2008,221358,The Great Gardens of England,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,236386,Cosmos Global Documentaries  South East Asia,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/3/2008,221302,Machu Picchu and the Sacred Valley,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,221288,India Adventures,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,247443,Dive Travel  Costa Rica,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,214898,South Australia Australia's Festival State,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/3/2008,253063,"The British Isles Ireland, Scotland and England",1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,237019,Vista Point  BARCELONA Spain,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/3/2008,253024,Sahel A West African Journey,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/3/2008,253063,"The British Isles Ireland, Scotland and England",1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,253024,Sahel A West African Journey,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/3/2008,253057,Karma Trekkers  Ireland,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,253024,Sahel A West African Journey,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/3/2008,236276,7 Days  FINLAND,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/3/2008,221309,New York's Bravest A Fire Fighting Odyssey Part 2,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,221427,New York's Bravest A Fire Fighting Odyssey Part 1,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/3/2008,221110,Alternate Routes  Costa Rica,1,N/A,Amazon US Retail,$5.24,Sold through Amazon.com
11/3/2008,236806,Nature Parks  OKAVANGO DELTA Botswana,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/3/2008,244921,Roma The Eternal City,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/3/2008,221389,"Weekend Explorer  Kuala Lumpur, Malaysia",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,221348,Take A Tour Of... Las Vegas,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236748,London [PAL],1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,236741,Israel Today,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/3/2008,239552,The Dragon  The Dragon: Carvings and Terracotta,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,236955,Silk Road Journey From China Through Central Asia,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/3/2008,221387,"Weekend Explorer  Hong Kong \"City Of Life\"",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236570,Global Treasures  HUE Vietnam,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236490,Global Treasures  ANGKOR WAT Cambodia,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236847,Nature Wonders  HA LONG BAY Vietnam,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/3/2008,236475,Germany,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/3/2008,237004,Undiscovered Wales,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/4/2008,236288,7 Days  KRETA Greece Crete,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/4/2008,247456,Crete Greece,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/4/2008,236443,EXTRAVAGANZA  PALACE ON WHEELS Five Star Train Journey In Wonderland,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/4/2008,236839,Nature Wonders  ETOSHA Namibia,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/4/2008,236276,7 Days  FINLAND,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/4/2008,252992,Bhutan Adventures,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/4/2008,253057,Karma Trekkers  Ireland,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/4/2008,253024,Sahel A West African Journey,1,N/A,Amazon US Retail,$7.69,Sold through Amazon.com
11/4/2008,253022,Vines Down Under Wine Regions of Australia and New Zealand,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/4/2008,252992,Bhutan Adventures,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/4/2008,236281,7 Days  HOLLAND,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/4/2008,236276,7 Days  FINLAND,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/4/2008,236708,"Global Treasures  Topkapi Istanbul, Turkey",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/4/2008,236276,7 Days  FINLAND,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/4/2008,236325,Alaska,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/4/2008,214851,Perth Australia's Golden City [PAL],1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/4/2008,236428,ESOVISION Relaxation  RAIN FOREST,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/5/2008,247463,Malama Ka Aina,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/5/2008,236741,Israel Today,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/5/2008,252992,Bhutan Adventures,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,252992,Bhutan Adventures,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,252992,Bhutan Adventures,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,236439,EXTRAVAGANZA  Burj Al Arab,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/5/2008,236750,Modern Times Wonders  BURJ AL ARAB Dubai,1,N/A,Amazon US Retail,$3.49,Sold through Amazon.com
11/5/2008,253022,Vines Down Under Wine Regions of Australia and New Zealand,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/5/2008,250334,World Explorations A Six Continent Journey,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,221184,English Cottage and Country Gardens,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,236322,A Slice Of Sicily,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,236458,Gardens of the World  A ROMANTIC GARDEN,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/5/2008,221184,English Cottage and Country Gardens,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,221358,The Great Gardens of England,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,253024,Sahel A West African Journey,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/5/2008,253053,Karma Trekkers  Malta,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,250329,Your Guide Around NYC,1,N/A,Amazon US Retail,$5.24,Sold through Amazon.com
11/5/2008,253054,Karma Trekkers  South Africa,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,253001,World's Greatest Festivals  The Ultimate Guide to New Orleans Mardi Gras,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/5/2008,214872,Brisbane Australia's Sunshine City,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/5/2008,214886,Sydney Australia's Olympic City,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/5/2008,253024,Sahel A West African Journey,1,N/A,Amazon US Retail,$7.69,Sold through Amazon.com
11/5/2008,252992,Bhutan Adventures,1,N/A,Amazon US Retail,$6.29,Sold through Amazon.com
11/5/2008,236335,Bavaria & The Black Forest,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/5/2008,236475,Germany,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/5/2008,236750,Modern Times Wonders  BURJ AL ARAB Dubai,1,N/A,Amazon US Retail,$3.49,Sold through Amazon.com
11/6/2008,252992,Bhutan Adventures,1,N/A,Amazon US Retail,$6.29,Sold through Amazon.com
11/6/2008,253053,Karma Trekkers  Malta,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/6/2008,253057,Karma Trekkers  Ireland,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/6/2008,237004,Undiscovered Wales,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/6/2008,236307,7 Days  SOUTH AFRICA,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/6/2008,221228,Flying Scotsman Running The Legend,1,N/A,Amazon US Retail,$5.94,Sold through Amazon.com
11/6/2008,237082,Vista Point  MEXICO CITY Mexico,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/6/2008,236495,Global Treasures  Avebury Stone Circle England,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/6/2008,237118,Vista Point  ST. PETERSBURG Russia,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/6/2008,236384,Cosmos Global Documentaries  SIAM A Glorious Kingdom Of The Past- Thailand,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/6/2008,236455,Gardens of the World  A JAPANESE GARDEN IN BELGIUM,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/6/2008,221236,Get Outta Town  Madrid Spain,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/6/2008,221285,Iceland Europe's Wild Gem,1,N/A,Amazon US Retail,$10.48,Sold through Amazon.com
11/6/2008,236261,7 Days  BAHAMAS,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/7/2008,236475,Germany,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/7/2008,236302,7 Days  PROVENCE France,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/7/2008,236315,7 Days  TUNISIA,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/7/2008,236293,7 Days  MOROCCO,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/7/2008,236469,Gardens of the World  THE ELEGANT MANSION GARDENS,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/7/2008,221348,Take A Tour Of... Las Vegas,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/7/2008,221348,Take A Tour Of... Las Vegas,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/7/2008,236448,Florida Vacation & Travel Video,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/7/2008,236448,Florida Vacation & Travel Video,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/7/2008,221215,"Exploring Horizons Rhythm of the Tides - Bay of Fundy Nova Scotia, Canada",1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/7/2008,244923,Switzerland Country of Mountains,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/7/2008,236738,Images of Umbria,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/7/2008,221330,"Porthole TV DVD Ship: Costa Atlantica,  Yucatan",1,N/A,Amazon US Retail,$5.24,Sold through Amazon.com
11/7/2008,236345,Clint Denn's Cruising Russia St. Petersburg to Moscow on the Volga & Neva,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/7/2008,236802,"Nature Parks  MONTE ETNA Sicily, Italy",1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/8/2008,236477,Global Treasures  ABU SIMBEL Egypt,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/8/2008,237131,Vista Point  VANCOUVER Canada,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/8/2008,236941,On Tour...  STRADA DELLE DOLOMITI The Majesty Of The Dolomites,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/8/2008,236583,Global Treasures  KATHMANDU Nepal,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/8/2008,236296,7 Days  NEPAL,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/8/2008,236507,Global Treasures  BODNATH Boudhanath Nepal,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/8/2008,236584,Global Treasures  Kathmandu Valley Nepal,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/8/2008,236802,"Nature Parks  MONTE ETNA Sicily, Italy",1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/8/2008,221110,Alternate Routes  Costa Rica,1,N/A,Amazon US Retail,$5.24,Sold through Amazon.com
11/8/2008,236580,Global Treasures  Karnak Egypt,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/8/2008,236705,Global Treasures  THEBES Theben Egypt,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/8/2008,236993,The Key West Picture Show,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/8/2008,236724,"Global Treasures  Vieux Quebec, Canada",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/8/2008,236322,A Slice Of Sicily,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/8/2008,236503,Global Treasures  BERGEN Norway,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/8/2008,236345,Clint Denn's Cruising Russia St. Petersburg to Moscow on the Volga & Neva,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/8/2008,236325,Alaska,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/8/2008,221184,English Cottage and Country Gardens,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/9/2008,221484,Slovenia and Croatia,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/9/2008,236399,Cosmos Global Documentaries THE LAKES OF THE GREAT RIFT VALLEY,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/9/2008,236593,Global Treasures  LAKE TITICACA Lago Titicaca Peru,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/9/2008,236701,Global Treasures  Taj Mahal India,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/9/2008,244923,Switzerland Country of Mountains,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/9/2008,227918,Historic Time Travel Peek Into Industry & Agriculture,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/9/2008,237004,Undiscovered Wales,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/9/2008,236560,Global Treasures  Hadrian's Wall England,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/9/2008,236748,London [PAL],1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/9/2008,236816,Nature Parks  YELLOWSTONE NATIONAL PARK Wyoming,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/9/2008,236335,Bavaria & The Black Forest,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/9/2008,244921,Roma The Eternal City,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/9/2008,237019,Vista Point  BARCELONA Spain,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/9/2008,236485,"Global Treasures  ALBAICIN El Albayzin Granada Andalucia, Spain",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/9/2008,221110,Alternate Routes  Costa Rica,1,N/A,Amazon US Retail,$5.24,Sold through Amazon.com
11/9/2008,236954,Scotland,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/10/2008,221409,Western Canada Far & Wild,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,236765,National Parks Of The USA And Canada,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,236322,A Slice Of Sicily,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,236981,Terra Mystica  MYSTIC VENICE Italy,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/10/2008,236272,7 Days  CUBA,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/10/2008,221348,Take A Tour Of... Las Vegas,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/10/2008,237026,Vista Point  CAPE TOWN South Africa,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/10/2008,237062,Vista Point  JOHANNESBURG South Africa,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/10/2008,250334,World Explorations A Six Continent Journey,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,236561,"Global Treasures  Hagia Sophia Istanbul, Turkey",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/10/2008,250334,World Explorations A Six Continent Journey,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,236870,Nature Wonders  MESA VERDE U.S.A.,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/10/2008,221243,Get Outta Town  Sydney Australia,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/10/2008,236322,A Slice Of Sicily,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,236320,7 Days  VIET NAM,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/10/2008,221360,The Key West DVD - Bring the Island Home on DVD,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,237004,Undiscovered Wales,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,236475,Germany,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,221302,Machu Picchu and the Sacred Valley,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,221231,Gardens Of Northern California's Wine Country,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/10/2008,236322,A Slice Of Sicily,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,244923,Switzerland Country of Mountains,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/10/2008,247442,The Real Cornwall,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/10/2008,244923,Switzerland Country of Mountains,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/10/2008,221204,"Exploring Horizons Home on the Range - Cypress Hills Saskatchewan, Canada",1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/10/2008,227918,Historic Time Travel Peek Into Industry & Agriculture,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/11/2008,236310,7 Days  TAIWAN,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/11/2008,236296,7 Days  NEPAL,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/11/2008,236993,The Key West Picture Show,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/11/2008,221228,Flying Scotsman Running The Legend,1,N/A,Amazon US Retail,$5.94,Sold through Amazon.com
11/11/2008,221184,English Cottage and Country Gardens,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/11/2008,221358,The Great Gardens of England,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/11/2008,239622,Amazing Thailand,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/11/2008,236282,7 Days  ICELAND,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/11/2008,236384,Cosmos Global Documentaries  SIAM A Glorious Kingdom Of The Past- Thailand,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/11/2008,221182,A Doug Jones Travelog  Egypt Gift of the Nile,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/11/2008,236954,Scotland,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/11/2008,221362,The Nude Traveller Bare Necessities Nude Cruising 3 Episode Set,1,N/A,Amazon US Retail,$17.48,Sold through Amazon.com
11/11/2008,237019,Vista Point  BARCELONA Spain,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/11/2008,236320,7 Days  VIET NAM,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/11/2008,236750,Modern Times Wonders  BURJ AL ARAB Dubai,1,N/A,Amazon US Retail,$3.49,Sold through Amazon.com
11/11/2008,236960,Super Chief Speed-Style-Service,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/11/2008,221404,"Weekend Explorer  Taipei, Taiwan",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/11/2008,221404,"Weekend Explorer  Taipei, Taiwan",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/11/2008,239622,Amazing Thailand,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/11/2008,239619,Andes  Andes: Machu Picchu,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/11/2008,244923,Switzerland Country of Mountains,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/12/2008,250326,America & the Passenger Train,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/12/2008,221484,Slovenia and Croatia,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/12/2008,221248,Growing Good Roses,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/12/2008,221393,"Weekend Explorer  Maine Highlands, Maine",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/12/2008,221328,"Porthole TV DVD Grenada: \"The Spice Island\"",1,N/A,Amazon US Retail,$5.24,Sold through Amazon.com
11/12/2008,221302,Machu Picchu and the Sacred Valley,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/12/2008,221163,"CANADA WEST - Volume 1: A JOURNEY TO THE TRUE NORTH, STRONG & FREE",1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/12/2008,221215,"Exploring Horizons Rhythm of the Tides - Bay of Fundy Nova Scotia, Canada",1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/12/2008,236345,Clint Denn's Cruising Russia St. Petersburg to Moscow on the Volga & Neva,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/12/2008,236595,Global Treasures  Les Baux de Provence France,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/12/2008,244919,Prague (Praha) The Mother of Cities,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/12/2008,247444,Dive Travel  Fiji The Tropical South Pacific Islands,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/12/2008,236375,Cosmos Global Documentaries  MOROCCO The Four Royal Cities,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/12/2008,236561,"Global Treasures  Hagia Sophia Istanbul, Turkey",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/13/2008,214895,Panorama Singapore,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/13/2008,236354,Cosmos Global Documentaries  CEYLON,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/13/2008,237038,Vista Point  DELHI India,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/13/2008,228845,A Doug Jones Travelog The Great Canadian Train Ride,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/13/2008,236952,Rails Across Russia St. Petersburg to the Pacific,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
